Object Identifier,c_This_is_a,c_Test_Precondition,c_Test_Procedure,c_Test_Postcondition,c_Test_Expected_Results,c_Comment_Test_Run,c_Observed_Result,c_Release,c_Result_Test_Run,c_Maturity,c_Review_Comment,c_Regression_Test,c_Priority,c_Problem_Report
TS_CAN_270,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_PwrRrClsrModeSeltn_SUM_SSC_PwrRrClsrModeSeltn_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal PwrRrClsrModeSeltn,
1) $0 = Disabled
2) $1 = Fully Open
3) $2 = Garage

NOTE: Signal PwrRrClsrModeSeltn is in message SrlDat2_Prtctd ($27A).",1) Read the value of signal PwrRrClsrModeSeltn received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_PwrRrClsrModeSeltn_SUM_SSC_PwrRrClsrModeSeltn_Buf'.,"Value of signal PwrRrClsrModeSeltn received in CAN wrapper is,
1) $0 = Disabled
2) $1 = Fully Open
3) $2 = Garage",RO 1129556,"Value of signal PwrRrClsrModeSeltn received in CAN wrapper is,
1) $0 = Disabled
2) $1 = Fully Open
3) $2 = Garage
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_271,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_OutsideAirTemp_OATP_OtsAirTmpCrValAuth_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal OATP_OtsAirTmpCrValAuth,
1) -40°C
2) 23.5°C
3) 87.5°C

NOTE: Signal OATP_OtsAirTmpCrValAuth is in message PDU_4011 ($58E).","1) Read the value of signal OATP_OtsAirTmpCrValAuth received in CAN wrapper in variable 'Rte_AppLibIF_R_OutsideAirTemp_OATP_OtsAirTmpCrValAuth_Buf'.

E = N * 0.5 - 40.0","Value of signal OATP_OtsAirTmpCrValAuth received in CAN wrapper is,
1) 0
2) 127
3) 255",RO 1129556,"Value of signal OATP_OtsAirTmpCrValAuth received in CAN wrapper is,
1) 0
2) 127
3) 255
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_272,test_case,"1) Put a breakpoint at function
Rte_Read_CanWrapper_RPort_RX_OATP_OtsAirTmpCrValAuth_Inv_OATP_OtsAirTmpCrValAuth_Inv and disable the breakpoint.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal OATP_OtsAirTmpCrValAuth_Inv,
1) $1 - TRUE
2) $0 - FALSE

NOTE: Signal OATP_OtsAirTmpCrValAuth_Inv is in message PDU_4011 ($58E).

2) Enable breakpoint.

3) Once breakpoint is hit read the value written to 'arg1'.",Read the value of signal OATP_OtsAirTmpCrValAuth_Inv received in CAN wrapper and written in 'arg1'.,"Value of signal OATP_OtsAirTmpCrValAuth_Inv received in CAN wrapper is,
1) 1 - TRUE
2) 0 - FALSE",RO 1129556,"Value of signal OATP_OtsAirTmpCrValAuth_Inv received in CAN wrapper is,
1) 1 - TRUE
2) 0 - FALSE
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_273,test_case,"1) Add watch or debug variable to monitor 'Rte_Diagnostic_Swc_RPort_RX_PSP_EngRnngAuth_PSP_EngRnngAuth_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal PSP_EngRnngAuth,
1) $1 = TRUE
2) $0 = FALSE

NOTE: Signal PSP_EngRnngAuth is in message SrlDat22_Prtctd ($36F).",1) Read the value of signal PSP_EngRnngAuth received in CAN wrapper in variable 'Rte_Diagnostic_Swc_RPort_RX_PSP_EngRnngAuth_PSP_EngRnngAuth_Buf'.,"Value of signal PSP_EngRnngAuth received in CAN wrapper is,
1) $1 = TRUE
2) $0 = FALSE
",RO 1129556,"Value of signal PSP_EngRnngAuth received in CAN wrapper is,
1) $1 = TRUE
2) $0 = FALSE
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_274,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_LongAccelAuth_LLDP_LongAccelAuth_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal LongAccelAuth,
1) -32
2) 0
3) 31

NOTE: Signal LongAccelAuth is in message PDU_4000 ($04B).","1) Read the value of signal LongAccelAuth received in CAN wrapper in variable 'Rte_AppLibIF_R_LongAccelAuth_LLDP_LongAccelAuth_Buf'.

E = N * 0.0625","Value of signal LongAccelAuth received in CAN wrapper is,
1)-512
2)0
3)511",RO 1129556,"Value of signal LongAccelAuth received in CAN wrapper is,
1)-512
2)0
3)511
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_275,test_case,"1) Add watch or debug variable to monitor 'Rte_AppLibIF_R_LongAccelAuth_Inv_LLDP_LongAccelAuth_Inv_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).
","In RBS open VectorSimulationNode and set the following values to signal LongAccelAuth_Inv,
1) $1 = TRUE
2) $0 = FALSE

NOTE: Signal LongAccelAuth_Inv is in message PDU_4000 ($04B).",1) Read the value of signal PSP_EngRnngAuth received in CAN wrapper in variable 'Rte_AppLibIF_R_LongAccelAuth_Inv_LLDP_LongAccelAuth_Inv_Buf'.,"Value of signal LongAccelAuth_Inv  received in CAN wrapper is,
1) $1 = TRUE
2) $0 = FALSE",RO 1129556,"Value of signal LongAccelAuth_Inv  received in CAN wrapper is,
1) $1 = TRUE
2) $0 = FALSE
","135
139.x
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_379,test_case,"1) Add watch or debug variable to monitor 'Rte_PLGLearnPos_R_PwrRrClsrProgOpnPstnSDFReqdVal_PwrRrClsrProgOpnPstnSDFReqdVal_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames - Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal  PwrRrClsrProgOpnPstnSDFReqdVal,
1) 0%
2) 63.5%
3) 127.5%

NOTE: Signal PwrRrClsrProgOpnPstnSDFReqdVal is in message PDU_4092.
","1) Read the value of signal PwrRrClsrProgOpnPstnSDFReqdVal received in CAN wrapper in variable 'Rte_PLGLearnPos_R_PwrRrClsrProgOpnPstnSDFReqdVal_PwrRrClsrProgOpnPstnSDFReqdVal_Buf'.

E = N * 0.5","Value of signal PwrRrClsrProgOpnPstnSDFReqdVal received in CAN wrapper is, 
1) 0
2) 127
3) 255",RO 1196588,"Value of signal PwrRrClsrProgOpnPstnSDFReqdVal received in CAN wrapper is, 
1) 0
2) 127
3) 255

",164R3.0,passed,project_accepted,"[2022-03-14 20:51:16] - uie85832 (Vera Almanza, OSCAR IVAN): 
- Abelardo Aguilasocho: Results reviewed with no comments.

[2022-03-07 23:07:23] - uie85832 (Vera Almanza, OSCAR IVAN): 
Allan Macias:
- Reviewed with no comments.

",,,
TS_CAN_380,test_case,"1) Add watch or debug variable to monitor 'Rte_PLGLearnPos_R_PwrRrClsrProgOpnPstnSDFReqd_PwrRrClsrProgOpnPstnSDFReqd_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames - Propulsion or Diagnostic).
","In RBS open VectorSimulationNode and set the following values to signal  ,
1) $1 = TRUE
2) $0 = FALSE 

NOTE: Signal PwrRrClsrProgOpnPstnSDFReqd is in message PDU_4092.

",1) Read the value of signal PwrRrClsrProgOpnPstnSDFReqd received in CAN wrapper in variable 'Rte_PLGLearnPos_R_PwrRrClsrProgOpnPstnSDFReqd_PwrRrClsrProgOpnPstnSDFReqd_Buf'.,"Value of signal PwrRrClsrProgOpnPstnSDFReqd received in CAN wrapper is, 
1) $1 = TRUE
2) $0 = FALSE 
",RO 1196588,"Value of signal PwrRrClsrProgOpnPstnSDFReqd received in CAN wrapper is, 
1) $1 = TRUE
2) $0 = FALSE ",164R3.0,passed,project_accepted,"[2022-03-14 20:51:25] - uie85832 (Vera Almanza, OSCAR IVAN): 
- Abelardo Aguilasocho: Results reviewed with no comments.

[2022-03-07 23:09:29] - uie85832 (Vera Almanza, OSCAR IVAN): 
Allan Macias:
- Reviewed with no comments.


",,,
TS_CAN_276,heading,N/A,N/A,N/A,N/A,#TBD#,,N/A,N/A,N/A,,,,
TS_CAN_277,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_BkupSysPwrModeAuth_SUM_SSC_BSPMP_BkupSysPwrModeAuth_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).

4) Development or Production keys provisioned in order to receive authenticated messages from the ECU.","In RBS open VectorSimulationNode and set the following values to signal BSPMP_BkupSysPwrModeAuth,
$0 = Off
$1 = Acc
$2 = Run
$3 = Propulsion
$4 = Start

NOTE: Signal BSPMP_BkupSysPwrModeAuth is in message BkupSysPwrMode_Prtctd_PDU ($57D).
",1) Read the value of signal BSPMP_BkupSysPwrModeAuth received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_BkupSysPwrModeAuth_SUM_SSC_BSPMP_BkupSysPwrModeAuth_Buf'.,"Value of signal BSPMP_BkupSysPwrModeAuth received in CAN wrapper is,
$0 = Off
$1 = Acc
$2 = Run
$3 = Propulsion
$4 = Start",RO 1129556,"Value of signal BSPMP_BkupSysPwrModeAuth received in CAN wrapper is,
$0 = Off
$1 = Acc
$2 = Run
$3 = Propulsion
$4 = Start
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_278,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_BkupSysPwrModeAuth_Inv_SUM_SSC_BSPMP_BkupSysPwrModeAuth_Inv_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).

4) Development or Production keys provisioned in order to receive authenticated messages from the ECU.","In RBS open VectorSimulationNode and set the following values to signal BSPMP_BkupSysPwrModeAuth_Inv,
1) $1 = TRUE
2) $0 = FALSE

NOTE: Signal BSPMP_BkupSysPwrModeAuth_Inv is in message BkupSysPwrMode_Prtctd_PDU ($57D).
",1) Read the value of signal BSPMP_BkupSysPwrModeAuth_Inv received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_BkupSysPwrModeAuth_Inv_SUM_SSC_BSPMP_BkupSysPwrModeAuth_Inv_Buf'.,"Value of signal BSPMP_BkupSysPwrModeAuth_Inv received in CAN wrapper is,
1) $1 = TRUE
2) $0 = FALSE
",RO 1129556,"Value of signal BSPMP_BkupSysPwrModeAuth_Inv received in CAN wrapper is,
1) $1 = TRUE
2) $0 = FALSE
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_279,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_RmtProgmActvAuth_SUM_SSC_BSPMP_RmtProgmActvAuth_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).

4) Development or Production keys provisioned in order to receive authenticated messages from the ECU.","In RBS open VectorSimulationNode and set the following values to signal BSPMP_RmtProgmActvAuth,
1) $1 = TRUE
2) $0 = FALSE

NOTE: Signal BSPMP_RmtProgmActvAuth is in message BkupSysPwrMode_Prtctd_PDU ($57D).",1) Read the value of signal BSPMP_RmtProgmActvAuth received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_RmtProgmActvAuth_SUM_SSC_BSPMP_RmtProgmActvAuth_Buf'.,"Value of signal BSPMP_RmtProgmActvAuth received in CAN wrapper is,
1) $1 = TRUE
2) $0 = FALSE",RO 1129556,"Value of signal BSPMP_RmtProgmActvAuth received in CAN wrapper is,
1) $1 = TRUE
2) $0 = FALSE
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_280,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_SecPwrModePBActvAuth_SUM_SSC_BSPMP_SecPwrModePBActvAuth_Buf'.

2) Development or Production keys provisioned in order to receive authenticated messages from the ECU.

3) Set Power Mode = RUN to enable simulation of Rx messages.

4) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal BSPMP_SecPwrModePBActvAuth,
$0 = FALSE
$1 = TRUE

NOTE: Signal BSPMP_SecPwrModePBActvAuth is in message BkupSysPwrMode_Prtctd_PDU ($370).
",Read the value of signal BSPMP_SecPwrModePBActvAuth received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_SecPwrModePBActvAuth_SUM_SSC_BSPMP_SecPwrModePBActvAuth_Buf'.,"Value of signal BSPMP_SecPwrModePBActvAuth received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
",RO 1129556,"Value of signal BSPMP_SecPwrModePBActvAuth received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_281,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_SecPwrModePBActvAuth_Inv_SUM_SSC_BSPMP_SecPwrModePBActvAuth_Inv_Buf'.

2) Development or Production keys provisioned in order to receive authenticated messages from the ECU.

3) Set Power Mode = RUN to enable simulation of Rx messages.

4) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).
","In RBS open VectorSimulationNode and set the following values to signal BSPMP_SecPwrModePBActvAuth_Inv,
$0 = FALSE
$1 = TRUE

NOTE: Signal BSPMP_SecPwrModePBActvAuth_Inv is in message BkupSysPwrMode_Prtctd_PDU ($370).
",Read the value of signal BSPMP_SecPwrModePBActvAuth_Inv received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_SecPwrModePBActvAuth_Inv_SUM_SSC_BSPMP_SecPwrModePBActvAuth_Inv_Buf'.,"Value of signal BSPMP_SecPwrModePBActvAuth_Inv received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
",RO 1129556,"Value of signal BSPMP_SecPwrModePBActvAuth_Inv received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_282,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_SecRunCrnkCmdActvAuth_SUM_SSC_BSPMP_SecRunCrnkCmdActvAuth_Buf'.

2) Development or Production keys provisioned in order to receive authenticated messages from the ECU.

3) Set Power Mode = RUN to enable simulation of Rx messages.

4) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal BSPMP_SecRunCrnkCmdActvAuth,
$0 = FALSE
$1 = TRUE

NOTE: Signal BSPMP_SecRunCrnkCmdActvAuth is in message BkupSysPwrMode_Prtctd_PDU ($370).
",Read the value of signal BSPMP_SecRunCrnkCmdActvAuth received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_SecRunCrnkCmdActvAuth_SUM_SSC_BSPMP_SecRunCrnkCmdActvAuth_Buf'.,"Value of signal BSPMP_SecRunCrnkCmdActvAuth received in CAN wrapper is,
$0 = FALSE
$1 = TRUE",RO 1129556,"Value of signal BSPMP_SecRunCrnkCmdActvAuth received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_283,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_SecRunCrnkCmdActvAuth_Inv_SUM_SSC_BSPMP_SecRunCrnkCmdActvAuth_Inv_Buf'.

2) Development or Production keys provisioned in order to receive authenticated messages from the ECU.

3) Set Power Mode = RUN to enable simulation of Rx messages.

4) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal BSPMP_SecRunCrnkCmdActvAuth_Inv,
$0 = FALSE
$1 = TRUE

NOTE: Signal BSPMP_SecRunCrnkCmdActvAuth_Inv is in message BkupSysPwrMode_Prtctd_PDU ($370).",Read the value of signal BSPMP_SecRunCrnkCmdActvAuth_Inv received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_BSPMP_SecRunCrnkCmdActvAuth_Inv_SUM_SSC_BSPMP_SecRunCrnkCmdActvAuth_Inv_Buf'.,"Value of signal BSPMP_SecRunCrnkCmdActvAuth_Inv received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
",RO 1129556,"Value of signal BSPMP_SecRunCrnkCmdActvAuth_Inv received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_285,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_RCIP_ExtRrClsrRelReqAuth_SUM_SSC_RCIP_ExtRrClsrRelReqAuth_Buf'.

2) Development or Production keys provisioned in order to receive authenticated messages from the ECU.

3) Set Power Mode = RUN to enable simulation of Rx messages.

4) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).","In RBS open VectorSimulationNode and set the following values to signal RCIP_ExtRrClsrRelReqAuth,
1) $0 = Unknown
2) $1 = Inactive
3) $2 = Active
4) $3 = Faulted

NOTE: Signal RCIP_ExtRrClsrRelReqAuth is in message SrlDat2_Prtctd_PDU ($27A).",1) Read the value of signal RCIP_ExtRrClsrRelReqAuth received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_RCIP_ExtRrClsrRelReqAuth_SUM_SSC_RCIP_ExtRrClsrRelReqAuth_Buf'.,"Value of signal RCIP_ExtRrClsrRelReqAuth received in CAN wrapper is,
1) $0 = Unknown
2) $1 = Inactive
3) $2 = Active
4) $3 = Faulted
",RO 1129556,"Value of signal RCIP_ExtRrClsrRelReqAuth received in CAN wrapper is,
1) $0 = Unknown
2) $1 = Inactive
3) $2 = Active
4) $3 = Faulted
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_286,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_RCIP_PwrRrClsrMtnCmdAuth_SUM_SSC_RCIP_PwrRrClsrMtnCmdAuth_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).

4) Development or Production keys provisioned in order to receive authenticated messages from the ECU.","In RBS open VectorSimulationNode and set the following values to signal RCIP_PwrRrClsrMtnCmdAuth,
$0 = No_Action
$1 = Release
$2 = Start Motion
$3 = Stop Motion

NOTE: Signal RCIP_PwrRrClsrMtnCmdAuth is in message SrlDat2_Prtctd_PDU ($27A).",1) Read the value of signal RCIP_PwrRrClsrMtnCmdAuth received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_RCIP_PwrRrClsrMtnCmdAuth_SUM_SSC_RCIP_PwrRrClsrMtnCmdAuth_Buf'.,"Value of signal RCIP_PwrRrClsrMtnCmdAuth received in CAN wrapper is,
$0 = No_Action
$1 = Release
$2 = Start Motion
$3 = Stop Motion",RO 1129556,"Value of signal RCIP_PwrRrClsrMtnCmdAuth received in CAN wrapper is,
$0 = No_Action
$1 = Release
$2 = Start Motion
$3 = Stop Motion
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_287,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_SPMP_SysPwrModeAuth_SUM_SSC_SPMP_SysPwrModeAuth_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).

4) Development or Production keys provisioned in order to receive authenticated messages from the ECU.
","In RBS open VectorSimulationNode and set the following values to signal SPMP_SysPwrModeAuth,
$0 = Off
$1 = Accessory
$2 = Run
$3 = Start Request
$4 = Propulsion

NOTE: Signal SPMP_SysPwrModeAuth is in message SysPwrMode_Prtctd_PDU ($36E).",1) Read the value of signal SPMP_SysPwrModeAuth received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_SPMP_SysPwrModeAuth_SUM_SSC_SPMP_SysPwrModeAuth_Buf'.,"Value of signal SPMP_SysPwrModeAuth  received in CAN wrapper is,
$0 = Off
$1 = Accessory
$2 = Run
$3 = Start Request
$4 = Propulsion",RO 1129556,"Value of signal SPMP_SysPwrModeAuth  received in CAN wrapper is,
$0 = Off
$1 = Accessory
$2 = Run
$3 = Start Request
$4 = Propulsion
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",TRUE,,
TS_CAN_288,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_SPMP_SysPwrModeAuth_Inv_SUM_SSC_SPMP_SysPwrModeAuth_Inv_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).

4) Development or Production keys provisioned in order to receive authenticated messages from the ECU.
","In RBS open VectorSimulationNode and set the following values to signal SPMP_SysPwrModeAuth_Inv,
$0 = FALSE
$1 = TRUE

NOTE: Signal SPMP_SysPwrModeAuth_Inv is in message SysPwrMode_Prtctd_PDU ($36E).
",Read the value of signal SPMP_SysPwrModeAuth_Inv received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_SPMP_SysPwrModeAuth_Inv_SUM_SSC_SPMP_SysPwrModeAuth_Inv_Buf'.,"Value of signal SPMP_SysPwrModeAuth_Inv  received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
",RO 1129556,"Value of signal SPMP_SysPwrModeAuth_Inv  received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_289,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_SPMP_PriRunCrnkCmdActvAuth_SUM_SSC_SPMP_PriRunCrnkCmdActvAuth_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).

4) Development or Production keys provisioned in order to receive authenticated messages from the ECU.
","In RBS open VectorSimulationNode and set the following values to signal SPMP_PriRunCrnkCmdActvAuth,
$0 = FALSE
$1 = TRUE

NOTE: Signal SPMP_PriRunCrnkCmdActvAuth is in message SysPwrMode_Prtctd_PDU ($36E).
",Read the value of signal SPMP_PriRunCrnkCmdActvAuth received in CAN wrapper in variable Rte_CanWrapper_RPort_SUM_SSC_SPMP_PriRunCrnkCmdActvAuth_SUM_SSC_SPMP_PriRunCrnkCmdActvAuth_Buf'.,"Value of signal SPMP_PriRunCrnkCmdActvAuth received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
",RO 1129556,"Value of signal SPMP_PriRunCrnkCmdActvAuth received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
TS_CAN_290,test_case,"1) Add watch or debug variable to monitor 'Rte_CanWrapper_RPort_SUM_SSC_SPMP_PriRunCrnkCmdActvAuth_Inv_SUM_SSC_SPMP_PriRunCrnkCmdActvAuth_Inv_Buf'.

2) Set Power Mode = RUN to enable simulation of Rx messages.

3) Keep the module awake by sending NM frames (Partial Network frames -  Propulsion or Diagnostic).

4) Development or Production keys provisioned in order to receive authenticated messages from the ECU.
","In RBS open VectorSimulationNode and set the following values to signal SPMP_PriRunCrnkCmdActvAuth_Inv,
$0 = FALSE
$1 = TRUE

NOTE: Signal SPMP_PriRunCrnkCmdActvAuth_Inv is in message SysPwrMode_Prtctd_PDU ($36E).
","Read the value of signal SPMP_PriRunCrnkCmdActvAuth_Inv received in CAN wrapper in variable 'Rte_CanWrapper_RPort_SUM_SSC_SPMP_PriRunCrnkCmdActvAuth_Inv_SUM_SSC_SPMP_PriRunCrnkCmdActvAuth_Inv_Buf'.
","Value of signal SPMP_PriRunCrnkCmdActvAuth_Inv received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
",RO 1129556,"Value of signal SPMP_PriRunCrnkCmdActvAuth_Inv received in CAN wrapper is,
$0 = FALSE
$1 = TRUE
","135
160R3.3",passed,project_accepted,"[01/14/2021] - Abelardo A., Danie S., Ravi G., Miguel F., Jorge R., Macias A.: Reviewed and accepted. No comments.",FALSE,,
